sampleID,relationshipID,year,location,municipality,deg_m_sN,deg_m_sE,locationID,ringID,age,sex,bm,wl,material,eggs,nestling,StableC,C_percent,StableN,N_percent,settlement,transport,fully_cultivated_land,infield_pasture,forest,open_land,bog,freshwater,sea,surface_cultivated_land,coniferous_forest,deciduous_forest,mixed_forest,tree_species_unknown,not_relevant,not_registered,impediment_forest_quality,low_forest_quality,medium_forest_quality,high_forest_quality,not_relevant_forest_quality,sea_distance_m,industry_distance_m,transport_settlement_distance_m,ski_arenas_distance_m,shooting_ranges_distance_m,Ag,Al,As,Au,B,Ba,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pr,Rb,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Tb,Th,Ti,Tl,U,V,W,Y,Yb,Zn
21_17,11Ad,2017,Hoklingen,Levanger,633629,110658,67,394012,Adult,F,585,282,Feathers,4,3,-24.36,46.8,6.38,15.11,22637.81772,25199.58621,654818.6037,67441.64376,1187402.875,50228.23891,5760.925975,1126093.83,0,0,1063913.493,98899.37587,24590.00673,55989.16488,1828749.838,67441.64376,74990.50797,608589.3855,282080.9582,277731.1884,1896191.481,8060.36328,6423.297449,83.22557033,2794.794945,1869.795896,0.0219497563,30.4780486349,0.0304215337,0.0429839412,0.2201747695,0.2126994035,0.0020879318,21.1925395701,0.0012424095,0.0224115608,0.0136085102,0.0919961713,0.0017352086,3.5634071479,0.001790694,0.0010879581,0.0004730295,33.4715120998,0.0083616555,NA,0.000871842,1.4653420452,0.0003300548,8.632164231,0.0105715417,0.0092908218,0.0001637921,12.6404840339,0.3614957239,0.1219084123,10.2776954928,0.000520261,0.010796327,0.032800988,101.228875628,0.106017873,0.002568836,0.035707784,26676.280083836,0.007391742,0.007787738,1.546856619,65.942209162,0.002081461,0.013266389,0.080158764,0.000286459,0.003507088,2.084623072,0.000420413,0.001804368,0.069128854,0.036175222,0.009003804,0.000878312,5.269773437
101_17,11Ad,2017,Hoklingen,Levanger,633629,110658,67,394012,Adult,F,585,282,Blood,4,3,NA,NA,NA,NA,22637.81772,25199.58621,654818.6037,67441.64376,1187402.875,50228.23891,5760.925975,1126093.83,0,0,1063913.493,98899.37587,24590.00673,55989.16488,1828749.838,67441.64376,74990.50797,608589.3855,282080.9582,277731.1884,1896191.481,8060.36328,6423.297449,83.22557033,2794.794945,1869.795896,NA,0.5377994368,0.003815261,8.26198E-05,0.1173229326,0.0500080967,NA,42.056980859,0.000576018,0.0003240407,0.0065214357,0.0068314841,0.0054578987,0.3745829069,NA,NA,NA,433.2327097485,NA,3.69453E-05,NA,0.2912104444,NA,1595.0875859474,5.45037E-05,0.0024197685,NA,68.1123923249,0.0592267916,0.0200969763,2167.7946500992,NA,0.000152457,0.005266067,1263.522615374,0.050372231,NA,3.097702821,2142.541342228,NA,NA,0.599248063,3.25981004,0.000165804,NA,0.014730327,NA,2.7252E-05,0.026419351,8.1202E-05,3.134E-05,0.003034543,3.8485E-05,0.000132082,NA,3.68612191
69_17,23Ad1,2017,Vika,Verran_Steinkjer,640235,111227,58,398477,Juvenile,F,305,NA,Feathers,NA,NA,NA,NA,NA,NA,36062.31645,12715.88292,187338.544,90724.81217,1812580.795,19958.30768,111244.8642,1452.400237,867766.5601,0,1809607.222,16415.90348,41345.03463,76415.80676,1105335.704,90724.81217,142850.2243,759127.9174,667852.9797,373952.8455,1196060.516,362.9754186,7975.200196,179.9713869,6567.535703,3383.554685,NA,8.567560348,0.007803916,0.0028504081,0.1730972191,0.1631566606,0.0011385089,130.8506124747,NA,0.0067261606,0.0114593646,0.0405530307,0.0013841449,1.9554598329,0.0006334391,0.0002051365,NA,15.4865718474,NA,NA,NA,0.7242971285,7.76923E-05,8.5431421826,0.0033055639,0.0167561333,NA,115.1324807765,2.3897196607,0.0861573445,7.7761399345,NA,0.002741262,0.012477468,517.647418625,0.020247626,0.000680716,0.043043421,23893.646735238,0.003507235,0.002155369,1.183408344,61.941980284,0.00058638,0.003422918,0.149020233,7.908E-05,0.000728493,0.451411157,0.002345574,0.000408525,0.013105274,0.010057816,0.002109051,0.000174808,27.234874431
78_17,23Ad1,2017,Vika,Verran_Steinkjer,640235,111227,58,398477,Juvenile,F,305,NA,Blood,NA,NA,NA,NA,NA,NA,36062.31645,12715.88292,187338.544,90724.81217,1812580.795,19958.30768,111244.8642,1452.400237,867766.5601,0,1809607.222,16415.90348,41345.03463,76415.80676,1105335.704,90724.81217,142850.2243,759127.9174,667852.9797,373952.8455,1196060.516,362.9754186,7975.200196,179.9713869,6567.535703,3383.554685,NA,0.1511541588,0.0035910398,0.0001616351,0.1315457474,0.0580197451,NA,52.7901691189,0.0001572198,5.78063E-05,0.0070074264,0.0016281202,0.021408117,0.1767185946,NA,NA,NA,256.8834787556,NA,2.5058E-06,NA,0.036822839,NA,1097.9935911923,NA,0.0107892704,NA,63.9176249712,0.0210194308,0.0154761208,2500.3157806665,NA,2.2267E-05,0.002808057,928.173388096,0.002251167,NA,4.180979842,1738.738376434,NA,NA,0.450454251,4.07139873,NA,0.000578207,0.034938199,NA,2.1185E-05,0.000751774,0.000183179,2.304E-05,0.000707333,NA,9.2122E-05,NA,3.890555836
70_17,23Ad2,2017,Vika,Verran_Steinkjer,640235,111227,58,398478,Juvenile,M,300,NA,Feathers,NA,NA,NA,NA,NA,NA,36062.31645,12715.88292,187338.544,90724.81217,1812580.795,19958.30768,111244.8642,1452.400237,867766.5601,0,1809607.222,16415.90348,41345.03463,76415.80676,1105335.704,90724.81217,142850.2243,759127.9174,667852.9797,373952.8455,1196060.516,362.9754186,7975.200196,179.9713869,6567.535703,3383.554685,NA,2.6762322627,0.007803916,0.0016612344,0.0759738191,0.0364583715,0.001324416,106.2534999614,NA,0.0021486322,0.0092077288,0.0402950284,0.0005164197,1.7607548369,0.000338517,0.000141511,NA,10.1448999096,NA,NA,NA,0.7254202517,7.76923E-05,6.7821947649,0.00095728,0.0125054344,NA,101.5671880853,0.1215777715,0.0624614543,7.1350912566,NA,0.000814437,0.010334255,430.649533529,0.005896239,0.000238815,0.038703304,25370.360923307,0.003218755,0.001498352,1.16803625,10.274468405,0.00023932,0.004869525,0.082211935,7.908E-05,0.000242788,0.228970136,0.002133196,0.000170553,0.004454434,0.000926336,0.000756986,0.000174808,27.816077679
71_17,23Ad3,2017,Vika,Verran_Steinkjer,640235,111227,58,398489,Juvenile,M,235,NA,Feathers,NA,NA,NA,NA,NA,NA,36062.31645,12715.88292,187338.544,90724.81217,1812580.795,19958.30768,111244.8642,1452.400237,867766.5601,0,1809607.222,16415.90348,41345.03463,76415.80676,1105335.704,90724.81217,142850.2243,759127.9174,667852.9797,373952.8455,1196060.516,362.9754186,7975.200196,179.9713869,6567.535703,3383.554685,NA,7.3392571391,0.007803916,0.0028577131,0.0978029402,0.0666735859,0.001405327,119.6837206285,NA,0.0058414728,0.0084834064,0.0503028666,0.0034223323,1.7249884778,0.000338517,0.0002397211,NA,15.3159263142,NA,NA,NA,0.9609631614,0.0001225476,18.6350372901,0.0030023317,0.0169122205,NA,106.0886693851,0.2080527224,0.0507583533,19.5554007479,NA,0.002718047,0.01550427,377.691880532,0.019592682,0.000616906,0.115365556,24456.193800245,0.005718625,0.001498352,1.265861632,21.222405103,0.00050945,0.005727294,0.089637006,7.908E-05,0.000588796,0.583718822,0.002239764,0.000315504,0.011605987,0.001673016,0.002193598,0.000232998,27.002296181
65_17,21Ad1,2017,Brattreitåsen,Verran_Steinkjer,640343,111215,55,398490,Juvenile,M,290,NA,Feathers,NA,NA,-24.08,47.36,8.71,15.47,397950.7292,58584.81297,382905.0064,78844.86169,1708428.506,66900.2315,32065.89541,40849.49771,365289.865,8020.1661,1477941.402,152694.3676,91346.6398,85412.22405,1253600.077,78844.86169,188043.0732,388864.5868,366061.3898,864425.5834,1332444.939,517.0648632,9616.147778,119.0031961,8135.856318,1296.006666,NA,6.0406866958,0.007803916,0.0075249229,0.0687496866,0.0291214841,0.0018480235,110.3431654946,NA,0.0048298542,0.0080707139,0.0564419127,0.0003499678,2.0394140564,0.000338517,0.0002494869,NA,12.3595815041,NA,NA,NA,0.7594727518,7.76923E-05,8.9086340094,0.0024211085,0.0129835149,NA,107.3794728709,0.1280756347,0.0856251356,9.5325147239,NA,0.001524311,0.035047909,414.973460076,0.012116547,0.000633952,0.035707749,24557.261041954,0.008376736,0.001498352,1.728558393,16.180238238,0.00023932,0.003350433,0.08320355,7.908E-05,0.000431628,0.330784692,0.001776532,0.00017627,0.00689727,0.001215371,0.001782253,0.000174808,27.146106479
66_17,21Ad2,2017,Brattreitåsen,Verran_Steinkjer,640343,111215,55,398491,Juvenile,M,310,NA,Feathers,NA,NA,-23.78,47.11,9.36,15.65,397950.7292,58584.81297,382905.0064,78844.86169,1708428.506,66900.2315,32065.89541,40849.49771,365289.865,8020.1661,1477941.402,152694.3676,91346.6398,85412.22405,1253600.077,78844.86169,188043.0732,388864.5868,366061.3898,864425.5834,1332444.939,517.0648632,9616.147778,119.0031961,8135.856318,1296.006666,NA,2.602861007,0.007803916,0.0020324202,0.071677362,0.0245371956,0.0007949019,106.9955863016,NA,0.0027092031,0.0107341227,0.038051625,0.00023932,1.9693018352,0.000338517,0.000141511,NA,10.1843682555,NA,NA,NA,0.884612573,7.76923E-05,7.5871092986,0.00095728,0.024358871,NA,99.5073526968,0.0962043723,0.1026114817,7.0713502062,NA,0.001332274,0.01260745,364.45827875,0.009264824,0.00029718,0.028903606,24717.184997023,0.010224049,0.001498352,1.822522943,6.35586694,0.000281516,0.003235986,0.063801811,7.908E-05,0.000411423,0.219466641,0.002464357,0.000148144,0.005069621,0.001064943,0.00094012,0.000174808,26.39139324
67_17,21Ad3,2017,Brattreitåsen,Verran_Steinkjer,640343,111215,55,398492,Juvenile,F,345,NA,Feathers,NA,NA,-23.82,47.44,9.18,15.63,397950.7292,58584.81297,382905.0064,78844.86169,1708428.506,66900.2315,32065.89541,40849.49771,365289.865,8020.1661,1477941.402,152694.3676,91346.6398,85412.22405,1253600.077,78844.86169,188043.0732,388864.5868,366061.3898,864425.5834,1332444.939,517.0648632,9616.147778,119.0031961,8135.856318,1296.006666,NA,6.4295759319,0.007803916,0.0022728363,0.0699772842,0.0466004033,0.001287339,79.6715438803,NA,0.0055888077,0.0115648715,0.1626702712,0.0004708219,2.3762075161,0.000338517,0.0003027675,NA,14.8818689597,NA,NA,NA,1.0141138847,7.76923E-05,7.2290404479,0.0022698522,0.0162065414,NA,82.381745386,0.7362680118,0.1585176112,8.7202824463,NA,0.002824761,0.094080033,352.391128359,0.010813721,0.000600858,0.028446781,25300.146081076,0.013307162,0.001498352,1.875312437,17.997068801,0.000520437,0.004800926,0.063249802,0.000101306,0.000532433,0.484519353,0.001092106,0.000406966,0.010768476,0.00246552,0.002611602,0.000296984,23.255000158
79_17,21Ad3,2017,Brattreitåsen,Verran_Steinkjer,640343,111215,55,398492,Juvenile,F,345,NA,Blood,NA,NA,NA,NA,NA,NA,397950.7292,58584.81297,382905.0064,78844.86169,1708428.506,66900.2315,32065.89541,40849.49771,365289.865,8020.1661,1477941.402,152694.3676,91346.6398,85412.22405,1253600.077,78844.86169,188043.0732,388864.5868,366061.3898,864425.5834,1332444.939,517.0648632,9616.147778,119.0031961,8135.856318,1296.006666,NA,0.1828739242,0.005372602,0.0001280833,0.1586744618,0.1210357977,NA,55.5058081636,0.0003279981,5.88141E-05,0.0093131859,0.0008583174,0.0010004984,0.1987216472,NA,NA,NA,241.7192489497,NA,1.72181E-05,NA,0.0362970166,NA,1055.8783013362,NA,0.0324384167,NA,58.7418329901,0.0263103475,0.0217543593,2606.7433116198,NA,2.6732E-05,0.003283769,878.399714731,0.003075405,NA,2.153693038,1800.178806475,NA,NA,0.676767554,4.129739535,NA,0.00061444,0.032667636,NA,2.5697E-05,0.000751774,8.338E-05,2.4614E-05,0.000749649,NA,0.000258907,NA,4.283240277
